group_name,subgroup,code
amenity,school,0
amenity,childcare,1
amenity,child_care,2
amenity,kindergarten,3
amenity,university,4
amenity,college,5
amenity,clinic,6
amenity,dentist,7
amenity,doctors,8
amenity,hospital,9
amenity,pharmacy,10
amenity,nursing_home,11
amenity,social_facility,12
amenity,dentist,13
amenity,veterinary,14
amenity,social_centre,15
amenity,community_centre,16
amenity,social_facility,17
amenity,fountain,18
amenity,public_bookcase,19
amenity,library,20
amenity,townhall,21
amenity,cafe,22
amenity,restaurant,22
amenity,fast_food,23
amenity,food_court,24
amenity,pub,25
amenity,ice_cream,26
amenity,baking_oven,27
amenity,biergarten,28
amenity,bar,29
amenity,casino,30
amenity,nightclub,31
amenity,cinema,32
amenity,theatre,33
amenity,events_venue,34
amenity,arts_centre,35
amenity,fitness_centre,36
amenity,fitness_station,37
amenity,garden,38
amenity,park,39
amenity,playground,40
amenity,sports_centre,41
amenity,swimming_pool,42
amenity,gym,43
amenity,bicycle_rental,44
amenity,bus_station,45
amenity,car_sharing,46
amenity,bank,47
amenity,marketplace,48
amenity,place_of_worship,49
leisure,amusement_arcade,50
leisure,dance,51
leisure,dog_park,52
leisure,fitness_centre,53
leisure,fitness_station,54
leisure,garden,55
leisure,park,56
leisure,pitch,57
leisure,playground,58
leisure,sports_centre,59
leisure,swimming_area,60
leisure,swimming_pool,61
leisure,track,62
public_transport,stop_position,63
public_transport,platform,64
public_transport,station,65
railway,subway_entrance,66
railway,tram_stop,67
landuse,allotments,68
office,coworking,69
shop,bakery,70
shop,butcher,71
shop,cheese,72
shop,convenience,73
shop,deli,74
shop,dairy,75
shop,farm,76
shop,frozen_food,77
shop,greengrocer,78
shop,health_food,79
shop,ice_cream,80
shop,pasta,81
shop,seafood,82
shop,spices,83
shop,supermarket,84
shop,wholesale,85
